citation,citation_text,adj,pos_adj,neg_adj
"Stoppard & Gunn Gruchy, 1993","Emotions are perceived differently by individuals, partly because of their life experiences and partly because of personality issues (Barrett, 2006) and gender (Stoppard & Gunn Gruchy, 1993).",[],"(0, [])","(0, [])"
"Strapparava & Mihalcea, 2008","One computer science initiative has attempted to identify various emotions in text, focusing on the six so-called basic emotions (Ekman, 1992; Fox, 2008) of anger, disgust, fear, joy, sadness, and surprise (Strapparava & Mihalcea, 2008). Sentiment Strength Detection In addition to the research discussed above concerning strength detection for multiple emotions (Strapparava & Mihalcea, 2008), there is some work on positive negative sentiment strength detection.","['fox', 'positive', 'multiple', 'various', 'basic', 'negative', 'socalled']","(1, ['positive'])","(1, ['negative'])"
"Strapparava & Valitutti, 2004","One is to have a dictionary of positive and negative words (e.g., love, hate), such as that found in General Inquirer (Stone, Dunphy, Smith, & Ogilvie, 1966), WordNet Affect (Strapparava & Valitutti, 2004), SentiWordNet (Baccianella, Esuli, & Sebastiani, 2010; Esuli & Sebastiani, 2006) or Q-WordNet (Agerri & Garc a-Serrano, 2010), and to count how often they occur.","['such', 'love', 'positive', 'general', 'negative', 'aserrano', 'qwordnet']","(2, ['love', 'positive'])","(1, ['negative'])"
"Tang, Tan, & Cheng, 2009","Opinion mining algorithms often use machine learning to identify general features associated with positive and negative sentiment, where these features could be a subset of the words in the document, parts of speech or n-grams (i.e., the frequency of occurrence of all n consecutive words, where n is typically 1, 2, or 3; Abbasi, Chen, Thoms, & Fu, 2008; Ng, Dasgupta, & Ari n, 2006; Tang, Tan, & Cheng, 2009).","['positive', 'general', 'abbasi', 'negative', 'ngrams', 'consecutive']","(1, ['positive'])","(1, ['negative'])"
"Thelwall, 2009","Probably as a result of these factors 95% of English public comments exchanged between friends contain at least one abbreviation from standard English (Thelwall, 2009). Comments are typically short (mean 18.7 words, median 13 words, 68 characters; Thelwall, 2009), but positive emotion is common (Thelwall, Wilkinson, & Uppal, 2010). Rules-based methods have also been used to identify structures in sentences associated with sentiment (Prabowo & Thelwall, 2009; Wu, Chuang, & Lin, 2006).","['uppal', 'short', 'median', 'positive', 'standard', 'public', 'rulesbased', 'least', 'common', 'english', 'mean']","(1, ['positive'])","(0, [])"
"Thelwall, Wilkinson, & Uppal, 2010","Comments are typically short (mean 18.7 words, median 13 words, 68 characters; Thelwall, 2009), but positive emotion is common (Thelwall, Wilkinson, & Uppal, 2010).","['uppal', 'short', 'median', 'positive', 'common', 'mean']","(1, ['positive'])","(0, [])"
"Thurlow, 2003","Perhaps most famous is mobile phone text language with its abbreviations, emoticons, and truncated sentences (Grinter & Eldridge, 2003; Thurlow, 2003), but similar styles are evident in many other forms of computer-mediated communication, including chatrooms, bulletin boards, and social network sites (Baron, 2003; Crystal, 2006). Widely recognized innovations include emoticons like :-) that are reasonably effective in conveying emotion (Derks, Bos, & von Grumbkow, 2008; Fullwood & Martino, 2007) and word abbreviations like m8 (mate) and u (you) (Thurlow, 2003).","['thurlow', 'famous', 'mobile', 'truncated', 'many', 'similar', 'other', 'social', 'effective', 'evident', 'computermediated']","(2, ['famous', 'effective'])","(0, [])"
"Turney, 2002","Modi cations of this approach include the identi cation of negating terms (Das & Chen, 2001), words that enhance sentiment in other words (e.g., really love, absolutely hate) and overall sentence structures (Turney, 2002).","['love', 'modi', 'other', 'identi', 'overall']","(1, ['love'])","(0, [])"
"Walther & Parks, 2002","Although sometimes seen as poor language use, these are a natural response to the technological affordances and social factors associated with a system (Baron, 2003; Walther & Parks, 2002).","['poor', 'use', 'social', 'natural', 'technological']","(0, [])","(1, ['poor'])"
"Watson et al., 1988","Although this model is useful, other research has shown that positive and negative sentiment can coexist (e.g., Fox, 2008, p. 127) and are relatively independent in many contexts particularly when sentiment levels are not extreme and over longer time periods (Diener & Emmons, 1984; Huppert & Whittington, 2003; Watson, 1988; Watson, Clark, & Tellegen, 1988) and so it also seems reasonable to conceive sentiment as separately measurable positive and negative components, as encoded in a popular psychology research instrument (Watson et al., 1988).","['reasonable', 'positive', 'conceive', 'other', 'many', 'independent', 'popular', 'useful', 'longer', 'negative', 'measurable', 'extreme']","(4, ['reasonable', 'positive', 'popular', 'useful'])","(1, ['negative'])"
"Watson, 1988","Although this model is useful, other research has shown that positive and negative sentiment can coexist (e.g., Fox, 2008, p. 127) and are relatively independent in many contexts particularly when sentiment levels are not extreme and over longer time periods (Diener & Emmons, 1984; Huppert & Whittington, 2003; Watson, 1988; Watson, Clark, & Tellegen, 1988) and so it also seems reasonable to conceive sentiment as separately measurable positive and negative components, as encoded in a popular psychology research instrument (Watson et al., 1988).","['reasonable', 'positive', 'conceive', 'other', 'many', 'independent', 'popular', 'useful', 'longer', 'negative', 'measurable', 'extreme']","(4, ['reasonable', 'positive', 'popular', 'useful'])","(1, ['negative'])"
"Watson, Clark, & Tellegen, 1988","Although this model is useful, other research has shown that positive and negative sentiment can coexist (e.g., Fox, 2008, p. 127) and are relatively independent in many contexts particularly when sentiment levels are not extreme and over longer time periods (Diener & Emmons, 1984; Huppert & Whittington, 2003; Watson, 1988; Watson, Clark, & Tellegen, 1988) and so it also seems reasonable to conceive sentiment as separately measurable positive and negative components, as encoded in a popular psychology research instrument (Watson et al., 1988).","['reasonable', 'positive', 'conceive', 'other', 'many', 'independent', 'popular', 'useful', 'longer', 'negative', 'measurable', 'extreme']","(4, ['reasonable', 'positive', 'popular', 'useful'])","(1, ['negative'])"
"Wiebe et al., 2005","The coders were given verbal instructions for coding each text as well as a booklet explaining the task (motivated by Wiebe et al., 2005), with the key instructions reproduced in the Appendix here. Previous emotion judgment/annotation tasks have obtained higher intercoder scores, but without strength measures and therefore having fewer categories (e.g., Wiebe et al., 2005).","['key', 'fewer', 'verbal', 'previous', 'higher', 'wiebe']","(0, [])","(0, [])"
"Wiebe, Wilson, & Cardie, 2005","Although there are many ways to measure emotion (Mauss & Robinson, 2009; Wiebe, Wilson, & Cardie, 2005), human coder subjective judgments were used as an appropriate way to gather suf cient results.","['suf', 'many', 'appropriate', 'subjective', 'human']","(1, ['appropriate'])","(0, [])"
"Wiebe, Wilson, Bruce, Bell, & Martin, 2004","A more sophisticated approach is to identify text features that could potentially be subjective in some contexts and then use contextual information to decide whether they are subjective in each new context (Wiebe, Wilson, Bruce, Bell, & Martin, 2004).","['new', 'subjective', 'contextual', 'sophisticated', 'text']","(1, ['sophisticated'])","(0, [])"
Wilson (2008),"Although sentiment analysis is normally concerned with opinions (Pang & Lee, 2008), Wilson (2008) has generalized this to the psychological task of identifying the author s hidden internal state from their text.","['internal', 'hidden', 'psychological']","(0, [])","(0, [])"
"Wilson et al., 2006","Nevertheless, with a few exceptions (Read, 2005; Wilson et al., 2006), explicit comparisons with other methods have not been included in opinion mining publications. Sentiment strength classi cation has also been developed for a three-level scheme (low, medium, and high or extreme) for subjective sentences or clauses in newswire texts using a linguistic analysis converting sentences into dependency trees re ecting their structure (Wilson et al., 2006). SentiStrength was able to identify the strength of positive sentiment on a scale of 1 to 5 in 60.6% of the time in informal MySpace language, signi cantly above the best standard machine-learning approaches, which had a performance of up to 58.5% in line with those for a previous four-category opinion intensity classi cation task (Wilson et al., 2006).","['publications', 'high', 'positive', 'standard', 'other', 'previous', 'subjective', 'able', 'threelevel', 'best', 'linguistic', 'informal', 'fourcategory', 'explicit', 'few']","(2, ['positive', 'best'])","(0, [])"
"Wilson et al., 2009","Previous work has shown that this approach is promising, particularly via dependency trees (Wilson et al., 2009) and that, given a large enough training sample, improvements may be possible even in poor-quality text (Gamon, 2004).","['enough', 'promising', 'sample', 'possible', 'previous', 'large']","(2, ['enough', 'promising'])","(0, [])"
"Wilson, 2008","For example, phrase analysis techniques could be applied to identify both positive and negative sentiment even within individual sentences (Choi & Cardie, 2008; Wilson, 2008; Wilson, Wiebe, & Hoffman, 2009). A promising future approach is the incorporation of context about the reasons why sentiment is used, such as differentiating between intention, arguments, and speculation (Wilson, 2008).","['individual', 'promising', 'such', 'positive', 'intention', 'example', 'used', 'negative']","(2, ['promising', 'positive'])","(1, ['negative'])"
"Wilson, Wiebe, & Hoffman, 2009","For example, phrase analysis techniques could be applied to identify both positive and negative sentiment even within individual sentences (Choi & Cardie, 2008; Wilson, 2008; Wilson, Wiebe, & Hoffman, 2009).","['individual', 'example', 'positive', 'negative']","(1, ['positive'])","(1, ['negative'])"
"Wilson, Wiebe, & Hwa, 2006","In terms of classi cation algorithms, support vector machines (SVMs) are widely used (Abbasi et al., 2008; Abbasi et al., 2008; Argamon et al., 2007; Gamon, 2004; Mishne, 2005; Wilson, Wiebe, & Hwa, 2006) because they seem to perform as well or better than other methods in most machine learning contexts.","['argamon', 'most', 'better', 'other']","(1, ['better'])","(0, [])"
"Witten & Frank, 2005","SentiStrength was also compared to a range of standard machine-learning classi cation algorithms in Weka (Witten & Frank, 2005) using the frequencies of each word in the sentiment word list as the feature set.","['machinelearning', 'standard']","(0, [])","(0, [])"
"Wu et al., 2006","and neutral states based upon words used by students describing their daily lives (Wu et al., 2006).","['daily', 'neutral']","(0, [])","(0, [])"
"Wu, Chuang, & Lin, 2006","Rules-based methods have also been used to identify structures in sentences associated with sentiment (Prabowo & Thelwall, 2009; Wu, Chuang, & Lin, 2006).",['rulesbased'],"(0, [])","(0, [])"
"a-Serrano, 2010","One is to have a dictionary of positive and negative words (e.g., love, hate), such as that found in General Inquirer (Stone, Dunphy, Smith, & Ogilvie, 1966), WordNet Affect (Strapparava & Valitutti, 2004), SentiWordNet (Baccianella, Esuli, & Sebastiani, 2010; Esuli & Sebastiani, 2006) or Q-WordNet (Agerri & Garc a-Serrano, 2010), and to count how often they occur.","['such', 'love', 'positive', 'general', 'negative', 'aserrano', 'qwordnet']","(2, ['love', 'positive'])","(1, ['negative'])"
"boyd, 2008","The social network site MySpace, the source of the data used in the current study, is known for its young members, its musical orientation, and its informal communication patterns (boyd, 2008a, 2008b).","['current', 'musical', 'young', 'social', 'informal']","(0, [])","(0, [])"
"by Wiebe et al., 2005","The coders were given verbal instructions for coding each text as well as a booklet explaining the task (motivated by Wiebe et al., 2005), with the key instructions reproduced in the Appendix here.","['key', 'verbal']","(0, [])","(0, [])"
"de Rijke, 2006","A follow up project attempted to derive the proportion of posts with a given mood within a speci c time period using 199 words (1-grams) and word pairs (2-grams) derived from the aggregate of all texts, rather than by classifying individual texts (Mishne & de Rijke, 2006).","['individual', 'speci', 'grams']","(0, [])","(0, [])"
human JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010,"It seems that both positive and negative sentiment detection in informal text language like MySpace comments is challenging because of several factors: language creativity, expressions of sentiment without emotion-bearing words, and differences between human JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010 DOI: 10.1002/asi 2555","['positive', 'creativity', 'american', 'negative', 'emotionbearing', 'several', 'informal', 'text', 'factors', 'human']","(1, ['positive'])","(1, ['negative'])"
in 2009,Data Set and Human Judgment of Sentiment Strength MySpace was chosen as a source of test data for this study because it is a public environment containing a large quantity of informal text language and is important in its own right as one of the most visited Web sites in the world in 2009.,"['public', 'large', 'important', 'own', 'visited', 'informal', 'text', 'human']","(1, ['important'])","(0, [])"
in December 2008,The comments were extracted in December 2008.,[],"(0, [])","(0, [])"
like JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010,"Feature selection, data processing to remove the least useful n-grams, has been shown to slightly improve classi cation performance, for example, by choosing a restricted set of features (e.g., 5,000) that score highest on a measure like JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010 DOI: 10.1002/asi 2545","['highest', 'american', 'useful', 'restricted', 'least']","(1, ['useful'])","(1, ['restricted'])"
"see Pollock & Zamora, 1984","Formal spelling correction algorithms (see Pollock & Zamora, 1984) were tried but not used as they made very few corrections and had problems with names and slang.","['formal', 'few']","(0, [])","(0, [])"
spelling JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010,"The feature sets are 1-3-grams; 1-3-grams with emoticons; 1-3-grams with punctuation; 1-3grams with misspellings (i.e., including terms before spelling JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010 DOI: 10.1002/asi 2551","['emoticons', 'punctuation', 'grams', 'american']","(0, [])","(0, [])"
standard JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010,"Nevertheless, its accuracy is lower than the SentiStrength standard version, although the difference is not statistically signi cant (accuracy = 59.42%, accuracy 1 = 96.60%, correlation = 0.5822, mean absolute error = 22.65%; only the mean absolute error difference is statistically signi cant from SentiStrength standard JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY December 2010 DOI: 10.1002/asi 2553","['sentistrength', 'standard', 'cant', 'lower', 'american', 'signi', 'mean']","(0, [])","(0, [])"
"von Grumbkow, 2008","Widely recognized innovations include emoticons like :-) that are reasonably effective in conveying emotion (Derks, Bos, & von Grumbkow, 2008; Fullwood & Martino, 2007) and word abbreviations like m8 (mate) and u (you) (Thurlow, 2003).",['effective'],"(1, ['effective'])","(0, [])"
"Aman, 2018","Another example of author-mobility analyses can be found in a bibliometric study to measure knowledge transfer (Aman, 2018).",[],"(0, [])","(0, [])"
BIBLIOMETRIC DATA SOURCE In 2004,"SCOPUS AS A BIBLIOMETRIC DATA SOURCE In 2004, Elsevier launched Scopus as a new search and discovery tool (Schotten, el Aisati, Meester, Steiginga, & Ross, 2017).","['new', 'bibliometric']","(0, [])","(0, [])"
BIS2013,Retrieved from https://www.elsevier.com/ research-intelligence/research-initiatives/ BIS2013 Elsevier.,"['researchintelligenceresearchinitiatives', 'httpswwwelseviercom']","(0, [])","(0, [])"
"Baas & Fennell, 2019","They have been used to evaluate the fate of rejected manuscripts (Bornmann et al., 2009), to investigate potential citation manipulation by reviewers (Baas & Fennell, 2019; Singh Chawla, 2019) and to study the development of multidisciplinarity (Levitt & Thelwall, 2008).",['potential'],"(0, [])","(0, [])"
"Berkvens, 2012","Scopus indexes many different elements of scientific publications, obtained from external publishers, such as publication title, abstract, keywords, author names and linked affiliations, references, and drug terms (Berkvens, 2012).","['abstract', 'such', 'many', 'affiliations', 'external', 'different', 'scientific']","(0, [])","(0, [])"
"Bornmann & Waltman, 2011","Another form of common analysis performed using Scopus data is around network visualization and spatial bibliometrics (Bornmann & De Moya Aneg n, 2019; Bornmann & Waltman, 2011; Leydesdorff & Persson, 2010; Mutz, Bornmann, de Moya Aneg n, & Stefaner, 2014) as well as research building new visualization techniques (Leydesdorff, 2010; Mischo & Schlembach, 2018).","['new', 'common', 'spatial']","(0, [])","(0, [])"
"Bornmann et al., 2009","They have been used to evaluate the fate of rejected manuscripts (Bornmann et al., 2009), to investigate potential citation manipulation by reviewers (Baas & Fennell, 2019; Singh Chawla, 2019) and to study the development of multidisciplinarity (Levitt & Thelwall, 2008).",['potential'],"(0, [])","(0, [])"
"CWTS, 2019","Research groups working with bulk Scopus data include CWTS (CWTS, 2019), SciMago (Scimago Lab, 2019), DZHW (DZHW, 2019), SciTech Strategies (SciTech Strategies, 2018), and others through tailored agreements that have been established between these groups and Elsevier.","['tailored', 'bulk', 'cwts', 'strategies']","(0, [])","(0, [])"
"DZHW, 2019","Research groups working with bulk Scopus data include CWTS (CWTS, 2019), SciMago (Scimago Lab, 2019), DZHW (DZHW, 2019), SciTech Strategies (SciTech Strategies, 2018), and others through tailored agreements that have been established between these groups and Elsevier.","['tailored', 'bulk', 'cwts', 'strategies']","(0, [])","(0, [])"
"Elsevier, 2011","The UK department of Business, Innovation and Skills (BIS) commissioned a report that entailed a comparative study of the UK s international research base, in 2011 (Elsevier, 2011) and 2013 (Elsevier, 2013).","['international', 'comparative']","(0, [])","(0, [])"
"Elsevier, 2013","The UK department of Business, Innovation and Skills (BIS) commissioned a report that entailed a comparative study of the UK s international research base, in 2011 (Elsevier, 2011) and 2013 (Elsevier, 2013).","['international', 'comparative']","(0, [])","(0, [])"
"Elsevier, 2016","In 2016, another refresh of this report was issued by the newly renamed Department for Business, Energy, & Industrial Strategy (BEIS) (Elsevier, 2016).",['industrial'],"(0, [])","(0, [])"
"Elsevier, 2017","This feature strengthens the disambiguation of authors and allows, for instance, gender-based longitudinal analyses that leverage first names (Elsevier, 2017; Lerchenmueller & Sorenson, 2018).","['instance', 'longitudinal', 'first', 'genderbased']","(0, [])","(0, [])"
"Elsevier, 2019","The ultimate decision to (de)select content lies with the external and independent Scopus CSAB (for full details, please see Elsevier, 2019b; Holland, Brimblecombe, Meester, & Steiginga, 2019). Since 2014, application programming interfaces (APIs) have taken over the role of providing access to raw data, allowing free use for scientific purposes, such as the text-and-data-mining resources (Elsevier, 2019c) and Scopus APIs for academic research purposes (Elsevier, 2019a).","['content', 'elsevier', 'such', 'free', 'independent', 'external', 'academic', 'ultimate', 'scientific', 'full', 'textanddatamining']","(1, ['free'])","(0, [])"
"Follett & Strezov, 2015","Scopus data were also used to analyze initiatives in open science, particularly open access (Solomon, Laakso, & Bj rk, 2013), citizen science (Follett & Strezov, 2015) and new tools in the scientific space, such as ResearchGate (Thelwall & Kousha, 2017).","['new', 'scientific', 'such', 'open']","(0, [])","(0, [])"
"Holland, Brimblecombe, Meester, & Steiginga, 2019","The ultimate decision to (de)select content lies with the external and independent Scopus CSAB (for full details, please see Elsevier, 2019b; Holland, Brimblecombe, Meester, & Steiginga, 2019).","['content', 'elsevier', 'independent', 'external', 'ultimate', 'full']","(0, [])","(0, [])"
ISSI 2019,"ISSI 2019, September 2 5, 2019, Rome, Italy https://www.issi2019.org/.",[],"(0, [])","(0, [])"
In 2016,"In 2016, another refresh of this report was issued by the newly renamed Department for Business, Energy, & Industrial Strategy (BEIS) (Elsevier, 2016).",['industrial'],"(0, [])","(0, [])"
In June 2019,"In June 2019, the International Center for the Study of Research was launched, with an advisory board consisting of bibliometricians, aiming to work with the scientometric research community and offering a virtual laboratory where researchers will be able to utilize Scopus data. In June 2019, the ICSR (International Center for the Study of Research, 2019) was launched, with a wide-ranging brief and the support of an advisory board, including experts in research policy, research evaluation, and bibliometrics, to be a Quantitative Science Studies 384 l D o w n o a d e d f r o m h t t p : / / d i r e c t .","['scientometric', 'virtual', 'quantitative', 'advisory', 'scopus', 'able', 'international', 'icsr', 'wideranging']","(0, [])","(0, [])"
"Ioannidis, Baas, Klavans, & Boyack, 2019","In addition, Scopus author profiles have been used to study the recent phenomenon of hyperprolific authorships (Ioannidis, Klavans, & Boyack, 2018) and for an author database of highly cited researchers (Ioannidis, Baas, Klavans, & Boyack, 2019; Van Noorden & Singh Chawla, 2019).","['addition', 'singh', 'noorden', 'hyperprolific', 'recent']","(0, [])","(0, [])"
"Ioannidis, Klavans, & Boyack, 2018","In addition, Scopus author profiles have been used to study the recent phenomenon of hyperprolific authorships (Ioannidis, Klavans, & Boyack, 2018) and for an author database of highly cited researchers (Ioannidis, Baas, Klavans, & Boyack, 2019; Van Noorden & Singh Chawla, 2019).","['addition', 'singh', 'noorden', 'hyperprolific', 'recent']","(0, [])","(0, [])"
July 2019,"Quantitative Science Studies, 1(1), 377 386. https://doi.org/10.1162/ qss_a_00019 DOI: https://doi.org/10.1162/qss_a_00019 Received: 04 July 2019 Accepted: 26 October 2019 Corresponding Author: Jeroen Baas j.baas@elsevier.com Handling Editors: Ludo Waltman and Vincent Larivi re Copyright: 2020 Jeroen Baas, Michiel Schotten, Andrew Plume, Gr goire C t , and Reza Karimi. All above efforts combined have led to approximately 1.8 million Scopus author profiles that have been manually enhanced (Scopus index, July 2019).","['author', 'quantitative', 'plume', 'editors', 'ludo']","(0, [])","(0, [])"
"Klavans & Boyack, 2017","There are also examples of studies using the full Scopus database to build new algorithms: Richard Klavans and Kevin Boyack developed algorithms on top of the database, resulting in Topics of Prominence (Klavans & Boyack, 2017), which are now prominently displayed in Elsevier s SciVal research performance product (which uses Scopus data as one of its data sources).","['algorithms', 'new', 'scival', 'elsevier', 'developed', 'which', 'full']","(0, [])","(0, [])"
"Lee, 2012","For instance, there are studies on mobility, using Scopus unique historic author-affiliation records, such as by Caroline Wagner and Koen Jonkers on international collaboration, mobility, and openness (Wagner & Jonkers, 2017), funding and collaboration (Leydesdorff, Bornmann, & Wagner, 2019), and author (Pina, Barac, Buljan, Grimaldo, & Maru ic, 2019) and institutional (Lee, 2012) collaboration networks.","['institutional', 'such', 'scopus', 'unique', 'international', 'historic']","(0, [])","(0, [])"
"Lerchenmueller & Sorenson, 2018","This feature strengthens the disambiguation of authors and allows, for instance, gender-based longitudinal analyses that leverage first names (Elsevier, 2017; Lerchenmueller & Sorenson, 2018). In addition, Scopus availability of author first names historically, combined with author profiling, enables studies using author gender assignments: for example, The gender gap in early-career transitions in the life sciences (Lerchenmueller & Sorenson, 2018) and Gender differences in research areas, methods and topics: Can people and thing orientations explain the results?","['instance', 'addition', 'earlycareer', 'scopus', 'longitudinal', 'first', 'genderbased']","(0, [])","(0, [])"
"Levitt & Thelwall, 2008","They have been used to evaluate the fate of rejected manuscripts (Bornmann et al., 2009), to investigate potential citation manipulation by reviewers (Baas & Fennell, 2019; Singh Chawla, 2019) and to study the development of multidisciplinarity (Levitt & Thelwall, 2008).",['potential'],"(0, [])","(0, [])"
"Leydesdorff & Persson, 2010","Another form of common analysis performed using Scopus data is around network visualization and spatial bibliometrics (Bornmann & De Moya Aneg n, 2019; Bornmann & Waltman, 2011; Leydesdorff & Persson, 2010; Mutz, Bornmann, de Moya Aneg n, & Stefaner, 2014) as well as research building new visualization techniques (Leydesdorff, 2010; Mischo & Schlembach, 2018).","['new', 'common', 'spatial']","(0, [])","(0, [])"
"Leydesdorff, 2010","Another form of common analysis performed using Scopus data is around network visualization and spatial bibliometrics (Bornmann & De Moya Aneg n, 2019; Bornmann & Waltman, 2011; Leydesdorff & Persson, 2010; Mutz, Bornmann, de Moya Aneg n, & Stefaner, 2014) as well as research building new visualization techniques (Leydesdorff, 2010; Mischo & Schlembach, 2018).","['new', 'common', 'spatial']","(0, [])","(0, [])"
"Leydesdorff, Bornmann, & Wagner, 2019","For instance, there are studies on mobility, using Scopus unique historic author-affiliation records, such as by Caroline Wagner and Koen Jonkers on international collaboration, mobility, and openness (Wagner & Jonkers, 2017), funding and collaboration (Leydesdorff, Bornmann, & Wagner, 2019), and author (Pina, Barac, Buljan, Grimaldo, & Maru ic, 2019) and institutional (Lee, 2012) collaboration networks.","['institutional', 'such', 'scopus', 'unique', 'international', 'historic']","(0, [])","(0, [])"
"Maflahi & Thelwall, 2016","Scopus as a curated, high-quality bibliometric data source on indicators (Thelwall, 2019; Thelwall & Fairclough, 2015), on correlation between citations and Mendeley readership (Maflahi & Thelwall, 2016; Thelwall & Wilson, 2016), on journal usage (Schloegl & Gorraiz, 2010), and studies revisiting bibliometric laws (Thelwall & Wilson, 2014).","['journal', 'curated', 'bibliometric']","(0, [])","(0, [])"
"Mischo & Schlembach, 2018","Another form of common analysis performed using Scopus data is around network visualization and spatial bibliometrics (Bornmann & De Moya Aneg n, 2019; Bornmann & Waltman, 2011; Leydesdorff & Persson, 2010; Mutz, Bornmann, de Moya Aneg n, & Stefaner, 2014) as well as research building new visualization techniques (Leydesdorff, 2010; Mischo & Schlembach, 2018).","['new', 'common', 'spatial']","(0, [])","(0, [])"
"National Science Board, 2016","Scopus as a curated, high-quality bibliometric data source Engineering Indicators (SEI), for the 2016 (National Science Board, 2016) and 2018 (National Science Board, 2018) editions, and will be used in future editions of the SEI reports up to 2022.","['curated', 'future', 'national']","(0, [])","(0, [])"
"National Science Board, 2018","Scopus as a curated, high-quality bibliometric data source Engineering Indicators (SEI), for the 2016 (National Science Board, 2016) and 2018 (National Science Board, 2018) editions, and will be used in future editions of the SEI reports up to 2022.","['curated', 'future', 'national']","(0, [])","(0, [])"
October 2019,"Quantitative Science Studies, 1(1), 377 386. https://doi.org/10.1162/ qss_a_00019 DOI: https://doi.org/10.1162/qss_a_00019 Received: 04 July 2019 Accepted: 26 October 2019 Corresponding Author: Jeroen Baas j.baas@elsevier.com Handling Editors: Ludo Waltman and Vincent Larivi re Copyright: 2020 Jeroen Baas, Michiel Schotten, Andrew Plume, Gr goire C t , and Reza Karimi.","['author', 'quantitative', 'plume', 'editors', 'ludo']","(0, [])","(0, [])"
"Preziosi et al., 2019","The mobility analysis using Scopus author profiles also informs the research policy of governments, such as through the European Commission s Joint Research Center (JRC) report on the rise of China as an industrial and innovation powerhouse (Preziosi et al., 2019).","['such', 'scopus', 'european', 'industrial', 'joint']","(0, [])","(0, [])"
REF 2014,"The first edition of the Research Excellence Framework (REF 2014) national assessment in the UK also used Scopus data. The REF 2014 was held by the Higher Education Funding Council for England (HEFCE) and the funding bodies for Scotland, Wales, and Northern Ireland. Prior to the announcement of the REF 2014 assessment results by HEFCE, the REF Results Analysis Tool provided by Elsevier allowed the UK s HEIs to compare and evaluate their own REF performance across several benchmarks and metrics.","['higher', 'northern', 'national', 'own', 'several', 'first', 'scotland']","(0, [])","(0, [])"
"Schloegl & Gorraiz, 2010","Scopus as a curated, high-quality bibliometric data source on indicators (Thelwall, 2019; Thelwall & Fairclough, 2015), on correlation between citations and Mendeley readership (Maflahi & Thelwall, 2016; Thelwall & Wilson, 2016), on journal usage (Schloegl & Gorraiz, 2010), and studies revisiting bibliometric laws (Thelwall & Wilson, 2014).","['journal', 'curated', 'bibliometric']","(0, [])","(0, [])"
"SciTech Strategies, 2018","Research groups working with bulk Scopus data include CWTS (CWTS, 2019), SciMago (Scimago Lab, 2019), DZHW (DZHW, 2019), SciTech Strategies (SciTech Strategies, 2018), and others through tailored agreements that have been established between these groups and Elsevier.","['tailored', 'bulk', 'cwts', 'strategies']","(0, [])","(0, [])"
"Science-Metrix, 2014","Scopus data are also the source of bibliometric indicators for the European Research Area in the context of the 2010 2014 study Analysis and Regular Update of Bibliometric Indicators for the European Commission (Science-Metrix, 2014) and have recently been selected for the continuation and improvement of this study, now called Provision and Analysis of Key Indicators in Research and Innovation, for the three coming years.","['key', 'sciencemetrix', 'regular', 'european', 'bibliometric']","(0, [])","(0, [])"
"Scimago Lab, 2019","Research groups working with bulk Scopus data include CWTS (CWTS, 2019), SciMago (Scimago Lab, 2019), DZHW (DZHW, 2019), SciTech Strategies (SciTech Strategies, 2018), and others through tailored agreements that have been established between these groups and Elsevier.","['tailored', 'bulk', 'cwts', 'strategies']","(0, [])","(0, [])"
Since 2014,"Since 2014, application programming interfaces (APIs) have taken over the role of providing access to raw data, allowing free use for scientific purposes, such as the text-and-data-mining resources (Elsevier, 2019c) and Scopus APIs for academic research purposes (Elsevier, 2019a).","['such', 'free', 'academic', 'scientific', 'textanddatamining']","(1, ['free'])","(0, [])"
"Singh Chawla, 2019","In addition, Scopus author profiles have been used to study the recent phenomenon of hyperprolific authorships (Ioannidis, Klavans, & Boyack, 2018) and for an author database of highly cited researchers (Ioannidis, Baas, Klavans, & Boyack, 2019; Van Noorden & Singh Chawla, 2019). They have been used to evaluate the fate of rejected manuscripts (Bornmann et al., 2009), to investigate potential citation manipulation by reviewers (Baas & Fennell, 2019; Singh Chawla, 2019) and to study the development of multidisciplinarity (Levitt & Thelwall, 2008).","['addition', 'singh', 'noorden', 'potential', 'hyperprolific', 'recent']","(0, [])","(0, [])"
"Stefaner, 2014","Another form of common analysis performed using Scopus data is around network visualization and spatial bibliometrics (Bornmann & De Moya Aneg n, 2019; Bornmann & Waltman, 2011; Leydesdorff & Persson, 2010; Mutz, Bornmann, de Moya Aneg n, & Stefaner, 2014) as well as research building new visualization techniques (Leydesdorff, 2010; Mischo & Schlembach, 2018).","['new', 'common', 'spatial']","(0, [])","(0, [])"
